date,uid,name,scan_time,hour,scan_no
2026-06-01,9D 96 87 A4,กรรณิการ์,20:50:16,20.838,1
2026-06-02,9D 96 87 A4,กรรณิการ์,07:46:52,7.781,1
2026-06-02,9D 96 87 A4,กรรณิการ์,20:01:34,20.026,2
2026-06-04,9D 96 87 A4,กรรณิการ์,11:56:11,11.936,1
2026-06-05,9D 96 87 A4,กรรณิการ์,15:01:13,15.02,1
2026-06-06,9D 96 87 A4,กรรณิการ์,07:26:49,7.447,1
2026-06-06,9D 96 87 A4,กรรณิการ์,15:31:33,15.526,2
2026-06-07,9D 96 87 A4,กรรณิการ์,07:27:28,7.458,1
2026-06-07,9D 96 87 A4,กรรณิการ์,15:30:50,15.514,2
2026-06-08,9D 96 87 A4,กรรณิการ์,12:51:14,12.854,1
2026-06-08,9D 96 87 A4,กรรณิการ์,20:53:26,20.891,2
2026-06-09,9D 96 87 A4,กรรณิการ์,07:49:58,7.833,1
2026-06-09,9D 96 87 A4,กรรณิการ์,20:01:44,20.029,2
2026-06-11,9D 96 87 A4,กรรณิการ์,11:49:17,11.821,1
2026-06-11,9D 96 87 A4,กรรณิการ์,20:04:17,20.071,2
2026-06-12,9D 96 87 A4,กรรณิการ์,07:21:20,7.356,1
2026-06-12,9D 96 87 A4,กรรณิการ์,15:28:51,15.481,2
2026-06-13,9D 96 87 A4,กรรณิการ์,07:20:32,7.342,1
2026-06-13,9D 96 87 A4,กรรณิการ์,15:25:54,15.432,2
2026-06-14,9D 96 87 A4,กรรณิการ์,06:55:16,6.921,1
2026-06-14,9D 96 87 A4,กรรณิการ์,15:00:28,15.008,2
2026-06-15,9D 96 87 A4,กรรณิการ์,12:44:20,12.739,1
2026-06-15,9D 96 87 A4,กรรณิการ์,20:56:15,20.938,2
2026-06-16,9D 96 87 A4,กรรณิการ์,07:58:51,7.981,1
2026-06-16,9D 96 87 A4,กรรณิการ์,20:01:41,20.028,2
2026-06-18,9D 96 87 A4,กรรณิการ์,20:02:59,20.05,1
2026-06-19,9D 96 87 A4,กรรณิการ์,05:56:45,5.946,1
2026-06-19,9D 96 87 A4,กรรณิการ์,14:37:56,14.632,2
2026-06-20,9D 96 87 A4,กรรณิการ์,06:56:55,6.949,1
2026-06-20,9D 96 87 A4,กรรณิการ์,15:03:09,15.052,2
2026-06-21,9D 96 87 A4,กรรณิการ์,06:43:29,6.725,1
2026-06-21,9D 96 87 A4,กรรณิการ์,15:01:29,15.025,2
2026-06-22,9D 96 87 A4,กรรณิการ์,12:56:36,12.943,1
2026-06-22,9D 96 87 A4,กรรณิการ์,20:54:23,20.906,2
2026-06-23,9D 96 87 A4,กรรณิการ์,07:46:30,7.775,1
2026-06-23,9D 96 87 A4,กรรณิการ์,20:01:16,20.021,2
2026-06-25,9D 96 87 A4,กรรณิการ์,11:51:11,11.853,1
2026-06-25,9D 96 87 A4,กรรณิการ์,20:01:40,20.028,2
2026-06-26,9D 96 87 A4,กรรณิการ์,05:57:30,5.958,1
2026-06-26,9D 96 87 A4,กรรณิการ์,14:00:19,14.005,2
2026-06-27,9D 96 87 A4,กรรณิการ์,06:51:23,6.856,1
2026-06-27,9D 96 87 A4,กรรณิการ์,14:53:34,14.893,2
2026-06-28,9D 96 87 A4,กรรณิการ์,06:57:30,6.958,1
2026-06-28,9D 96 87 A4,กรรณิการ์,15:00:59,15.016,2
2026-06-29,9D 96 87 A4,กรรณิการ์,12:50:51,12.848,1
2026-06-29,9D 96 87 A4,กรรณิการ์,20:51:54,20.865,2
2026-06-30,9D 96 87 A4,กรรณิการ์,07:58:49,7.98,1
2026-06-30,9D 96 87 A4,กรรณิการ์,20:02:22,20.039,2
2026-07-02,9D 96 87 A4,กรรณิการ์,11:56:09,11.936,1
2026-07-02,9D 96 87 A4,กรรณิการ์,20:00:29,20.008,2
2026-07-03,9D 96 87 A4,กรรณิการ์,06:02:27,6.041,1
2026-07-03,9D 96 87 A4,กรรณิการ์,14:02:35,14.043,2
2026-07-04,9D 96 87 A4,กรรณิการ์,07:19:00,7.317,1
2026-07-04,9D 96 87 A4,กรรณิการ์,15:36:55,15.615,2
2026-07-05,9D 96 87 A4,กรรณิการ์,07:23:23,7.39,1
